instance_id,algorithm,success,total_cost,execution_time_sec,expanded_nodes,obstacles,no_fly_zones,recharge_stations
1,astar,True,21.0,0.0634190000000671,162.0,4,1,2
1,breadth_first,True,21.0,0.5087369000000308,1230.0,4,1,2
1,greedy,True,60.0,0.7239351000000624,1067.0,4,1,2
1,uniform_cost,True,21.0,1.8167955000001257,1768.0,4,1,2
2,astar,True,14.0,0.0033096999998178,20.0,3,1,2
2,breadth_first,True,16.0,0.1021852000001217,406.0,3,1,2
2,greedy,True,16.0,0.0008585999999013,7.0,3,1,2
2,uniform_cost,True,14.0,0.393009099999972,574.0,3,1,2
3,astar,True,18.0,0.0076592000000346,34.0,5,1,2
3,breadth_first,True,18.0,0.3616530000001603,971.0,5,1,2
3,greedy,True,18.0,0.5633272000000034,964.0,5,1,2
3,uniform_cost,True,18.0,1.616147799999908,1443.0,5,1,2
4,astar,True,16.0,0.0017119000001457,13.0,5,1,2
4,breadth_first,True,16.0,0.0313607999999021,210.0,5,1,2
4,greedy,True,16.0,0.0582065999999485,268.0,5,1,2
4,uniform_cost,True,16.0,0.1112235999999029,302.0,5,1,2
5,astar,True,24.0,0.0584403000000293,126.0,12,1,2
5,breadth_first,True,24.0,1.812029100000018,2803.0,12,1,2
5,greedy,True,24.0,0.002275900000086,14.0,12,1,2
5,uniform_cost,True,24.0,11.930194100000108,4023.0,12,1,2
6,astar,True,20.0,0.0117204000000583,42.0,10,1,2
6,breadth_first,True,20.0,1.2334597999999914,1626.0,10,1,2
6,greedy,True,20.0,0.0013933999998698,10.0,10,1,2
6,uniform_cost,True,20.0,4.27765260000001,1918.0,10,1,2
7,astar,True,18.0,0.0108854000000064,40.0,7,1,2
7,breadth_first,True,20.0,1.5739149000000907,1462.0,7,1,2
7,greedy,True,20.0,0.0013294999998834,9.0,7,1,2
7,uniform_cost,True,18.0,3.633028299999978,1648.0,7,1,2
8,astar,True,20.0,0.053044600000021,121.0,5,1,2
8,breadth_first,True,22.0,0.4295411999999032,1149.0,5,1,2
8,greedy,True,22.0,0.0061206000000311,98.0,5,1,2
8,uniform_cost,True,20.0,2.660942900000009,1794.0,5,1,2
9,astar,True,24.0,0.0764556000001448,157.0,9,1,2
9,breadth_first,True,24.0,0.7161097000000609,1801.0,9,1,2
9,greedy,True,24.0,0.0067226999999547,99.0,9,1,2
9,uniform_cost,True,24.0,6.338088800000151,3450.0,9,1,2
10,astar,True,20.0,0.0241100999999162,53.0,8,1,2
10,breadth_first,True,20.0,2.06331699999987,2132.0,8,1,2
10,greedy,True,20.0,0.0025810999998157,10.0,8,1,2
10,uniform_cost,True,20.0,4.7761577000001125,2208.0,8,1,2
11,astar,True,26.0,0.3846860999999535,402.0,10,1,2
11,breadth_first,True,26.0,3.2054975000000923,3278.0,10,1,2
11,greedy,True,64.0,6.272677799999883,4018.0,10,1,2
