algorithm,success,total_cost,solution_depth,execution_time_sec,expanded_nodes,chosen_nodes,iterations,max_fringe_size,path_length,actions,final_state,instance_id,grid,start,goal,max_battery,recharge_stations,obstacles,no_fly_zones
greedy,True,0.7487179487179487,8,0.0015395999944303185,8,9,9,31,8,"['UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Z']","DroneState(x=3, y=3, z=2, battery=5, time_step=8)",18,4x4x3,"(0, 0, 0)","(3, 3, 2)",13,2,5,1
astar,True,0.7487179487179487,8,0.0065055000013671815,24,25,25,62,8,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Z']","DroneState(x=3, y=3, z=2, battery=5, time_step=8)",18,4x4x3,"(0, 0, 0)","(3, 3, 2)",13,2,5,1
depth_first,True,6.45454545454545,60,0.27917840000009164,837,838,838,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_X']","DroneState(x=5, y=3, z=1, battery=2, time_step=60)",19,6x4x2,"(0, 0, 0)","(5, 3, 1)",11,2,5,1
breadth_first,True,0.968181818181818,9,0.45158390002325177,749,750,750,400,9,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=5, y=3, z=1, battery=2, time_step=9)",19,6x4x2,"(0, 0, 0)","(5, 3, 1)",11,2,5,1
uniform_cost,True,0.968181818181818,9,0.4926706000114791,611,612,612,333,9,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Y']","DroneState(x=5, y=3, z=1, battery=2, time_step=9)",19,6x4x2,"(0, 0, 0)","(5, 3, 1)",11,2,5,1
greedy,True,0.968181818181818,9,0.0016126999980770051,9,10,10,30,9,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=5, y=3, z=1, battery=2, time_step=9)",19,6x4x2,"(0, 0, 0)","(5, 3, 1)",11,2,5,1
astar,True,0.968181818181818,9,0.005255500000203028,19,20,20,56,9,"['UP_X', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Z', 'UP_X', 'UP_X', 'UP_Y']","DroneState(x=5, y=3, z=1, battery=2, time_step=9)",19,6x4x2,"(0, 0, 0)","(5, 3, 1)",11,2,5,1
depth_first,True,8.466666666666667,58,0.5967040000250563,1927,1928,1928,181,58,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=5, y=5, z=1, battery=0, time_step=60)",20,6x6x2,"(0, 0, 0)","(5, 5, 1)",8,2,7,1
breadth_first,True,1.9499999999999997,12,0.9539799999911338,1719,1720,1720,424,12,"['UP_Y', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=5, y=5, z=1, battery=0, time_step=14)",20,6x6x2,"(0, 0, 0)","(5, 5, 1)",8,2,7,1
uniform_cost,True,1.9499999999999997,12,2.5085562000167556,1837,1838,1838,425,12,"['UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=5, y=5, z=1, battery=0, time_step=14)",20,6x6x2,"(0, 0, 0)","(5, 5, 1)",8,2,7,1
greedy,True,6.133333333333332,40,6.099354899983155,4283,4284,4284,821,40,"['UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'DOWN_X', 'DOWN_X', 'RECHARGE', 'UP_X', 'UP_Z', 'UP_Y', 'DOWN_X', 'RECHARGE', 'UP_X', 'WAIT', 'DOWN_X', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=5, y=5, z=1, battery=0, time_step=46)",20,6x6x2,"(0, 0, 0)","(5, 5, 1)",8,2,7,1
astar,True,1.9499999999999997,12,0.21993619998102076,256,257,257,271,12,"['UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=5, y=5, z=1, battery=0, time_step=14)",20,6x6x2,"(0, 0, 0)","(5, 5, 1)",8,2,7,1
depth_first,True,5.285714285714283,60,0.38463009998667985,1174,1175,1175,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Y', 'UP_X', 'UP_X']","DroneState(x=3, y=4, z=2, battery=5, time_step=60)",21,4x5x3,"(0, 0, 0)","(3, 4, 2)",14,2,7,1
breadth_first,True,0.7928571428571429,9,0.7584597000095528,962,963,963,555,9,"['UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y']","DroneState(x=3, y=4, z=2, battery=5, time_step=9)",21,4x5x3,"(0, 0, 0)","(3, 4, 2)",14,2,7,1
uniform_cost,True,0.7928571428571429,9,1.1272350000217557,864,865,865,511,9,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Z', 'UP_Z', 'UP_X', 'UP_X']","DroneState(x=3, y=4, z=2, battery=5, time_step=9)",21,4x5x3,"(0, 0, 0)","(3, 4, 2)",14,2,7,1
greedy,True,0.7928571428571429,9,0.0015607999812345952,9,10,10,29,9,"['UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y']","DroneState(x=3, y=4, z=2, battery=5, time_step=9)",21,4x5x3,"(0, 0, 0)","(3, 4, 2)",14,2,7,1
astar,True,0.7928571428571429,9,0.01903100000345148,47,48,48,104,9,"['UP_X', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X']","DroneState(x=3, y=4, z=2, battery=5, time_step=9)",21,4x5x3,"(0, 0, 0)","(3, 4, 2)",14,2,7,1
depth_first,True,5.999999999999995,60,0.09596929998951964,367,368,368,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y']","DroneState(x=3, y=3, z=1, battery=5, time_step=60)",22,4x4x2,"(0, 0, 0)","(3, 3, 1)",12,2,4,1
breadth_first,True,0.7,7,0.10141889998340048,273,274,274,184,7,"['UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=3, y=3, z=1, battery=5, time_step=7)",22,4x4x2,"(0, 0, 0)","(3, 3, 1)",12,2,4,1
uniform_cost,True,0.7,7,0.14251360000343993,268,269,269,171,7,"['UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_Z', 'UP_Y', 'UP_Y']","DroneState(x=3, y=3, z=1, battery=5, time_step=7)",22,4x4x2,"(0, 0, 0)","(3, 3, 1)",12,2,4,1
greedy,True,0.7,7,0.0012710999872069806,7,8,8,26,7,"['UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=3, y=3, z=1, battery=5, time_step=7)",22,4x4x2,"(0, 0, 0)","(3, 3, 1)",12,2,4,1
astar,True,0.7,7,0.00527750002220273,21,22,22,51,7,"['UP_X', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_Z']","DroneState(x=3, y=3, z=1, battery=5, time_step=7)",22,4x4x2,"(0, 0, 0)","(3, 3, 1)",12,2,4,1
depth_first,True,7.116666666666657,60,0.18636769999284297,700,701,701,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_X']","DroneState(x=4, y=3, z=1, battery=1, time_step=60)",23,5x4x2,"(0, 0, 0)","(4, 3, 1)",10,2,5,1
breadth_first,True,1.05,8,0.24237839999841526,537,538,538,302,8,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y']","DroneState(x=4, y=3, z=1, battery=1, time_step=8)",23,5x4x2,"(0, 0, 0)","(4, 3, 1)",10,2,5,1
uniform_cost,True,0.9333333333333335,8,0.44777920001070015,498,499,499,299,8,"['UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Z']","DroneState(x=4, y=3, z=1, battery=2, time_step=8)",23,5x4x2,"(0, 0, 0)","(4, 3, 1)",10,2,5,1
greedy,True,1.05,8,0.0023475000052712858,8,9,9,25,8,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y']","DroneState(x=4, y=3, z=1, battery=1, time_step=8)",23,5x4x2,"(0, 0, 0)","(4, 3, 1)",10,2,5,1
astar,True,0.9333333333333335,8,0.012005299999145791,32,33,33,68,8,"['UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_X', 'UP_Y']","DroneState(x=4, y=3, z=1, battery=2, time_step=8)",23,5x4x2,"(0, 0, 0)","(4, 3, 1)",10,2,5,1
depth_first,True,6.45454545454545,60,0.2983793999883346,947,948,948,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=5, y=4, z=1, battery=1, time_step=60)",24,6x5x2,"(0, 0, 0)","(5, 4, 1)",11,2,5,1
breadth_first,True,1.0757575757575757,10,0.4616456000076141,785,786,786,371,10,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=5, y=4, z=1, battery=1, time_step=10)",24,6x5x2,"(0, 0, 0)","(5, 4, 1)",11,2,5,1
uniform_cost,True,1.0757575757575757,10,0.8984710999939125,770,771,771,414,10,"['UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Y', 'UP_Z', 'UP_X']","DroneState(x=5, y=4, z=1, battery=1, time_step=10)",24,6x5x2,"(0, 0, 0)","(5, 4, 1)",11,2,5,1
greedy,True,1.0757575757575757,10,0.0020047000143676996,10,11,11,37,10,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=5, y=4, z=1, battery=1, time_step=10)",24,6x5x2,"(0, 0, 0)","(5, 4, 1)",11,2,5,1
astar,True,1.0757575757575757,10,0.01657459998386912,44,45,45,104,10,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Y']","DroneState(x=5, y=4, z=1, battery=1, time_step=10)",24,6x5x2,"(0, 0, 0)","(5, 4, 1)",11,2,5,1
depth_first,True,7.794444444444456,60,0.1332086999900639,476,477,477,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_X', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y']","DroneState(x=4, y=3, z=1, battery=0, time_step=60)",25,5x4x2,"(0, 0, 0)","(4, 3, 1)",9,2,6,1
breadth_first,True,1.15,8,0.2005940999952145,461,462,462,280,8,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Y']","DroneState(x=4, y=3, z=1, battery=0, time_step=8)",25,5x4x2,"(0, 0, 0)","(4, 3, 1)",9,2,6,1
uniform_cost,True,1.15,8,0.7865674000058789,738,739,739,355,8,"['UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_X', 'UP_Y']","DroneState(x=4, y=3, z=1, battery=0, time_step=8)",25,5x4x2,"(0, 0, 0)","(4, 3, 1)",9,2,6,1
greedy,True,1.15,8,0.001518200006103143,8,9,9,28,8,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Y']","DroneState(x=4, y=3, z=1, battery=0, time_step=8)",25,5x4x2,"(0, 0, 0)","(4, 3, 1)",9,2,6,1
astar,True,1.15,8,0.00851040001725778,31,32,32,65,8,"['UP_X', 'UP_Y', 'UP_Z', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y']","DroneState(x=4, y=3, z=1, battery=0, time_step=8)",25,5x4x2,"(0, 0, 0)","(4, 3, 1)",9,2,6,1
depth_first,True,5.373809523809522,60,0.3531571000057738,1110,1111,1111,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Y', 'UP_X', 'UP_Z', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_X']","DroneState(x=5, y=3, z=1, battery=4, time_step=60)",26,6x4x2,"(0, 0, 0)","(5, 3, 1)",14,2,5,1
breadth_first,True,0.7928571428571429,9,0.514874399988912,803,804,804,379,9,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=5, y=3, z=1, battery=5, time_step=9)",26,6x4x2,"(0, 0, 0)","(5, 3, 1)",14,2,5,1
uniform_cost,True,0.7928571428571429,9,0.9411909000191372,773,774,774,391,9,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Z']","DroneState(x=5, y=3, z=1, battery=5, time_step=9)",26,6x4x2,"(0, 0, 0)","(5, 3, 1)",14,2,5,1
greedy,True,0.7928571428571429,9,0.002163299999665469,9,10,10,32,9,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=5, y=3, z=1, battery=5, time_step=9)",26,6x4x2,"(0, 0, 0)","(5, 3, 1)",14,2,5,1
astar,True,0.7928571428571429,9,0.012505899998359382,37,38,38,80,9,"['UP_X', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_Z']","DroneState(x=5, y=3, z=1, battery=5, time_step=9)",26,6x4x2,"(0, 0, 0)","(5, 3, 1)",14,2,5,1
depth_first,True,5.999999999999995,60,0.80536120000761,2269,2270,2270,181,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y']","DroneState(x=5, y=4, z=2, battery=1, time_step=60)",27,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
breadth_first,True,1.0999999999999999,11,2.4683894000190776,2101,2102,2102,759,11,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Z']","DroneState(x=5, y=4, z=2, battery=1, time_step=11)",27,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
uniform_cost,True,1.0999999999999999,11,4.855211499991128,1809,1810,1810,936,11,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Z']","DroneState(x=5, y=4, z=2, battery=1, time_step=11)",27,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
greedy,True,1.0999999999999999,11,0.002783200005069375,11,12,12,36,11,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Z']","DroneState(x=5, y=4, z=2, battery=1, time_step=11)",27,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
astar,True,1.0999999999999999,11,0.02312759999767877,45,46,46,120,11,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Z']","DroneState(x=5, y=4, z=2, battery=1, time_step=11)",27,6x5x3,"(0, 0, 0)","(5, 4, 2)",12,2,14,1
depth_first,True,6.099999999999995,60,0.18671129998983815,743,744,744,121,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X']","DroneState(x=3, y=5, z=1, battery=2, time_step=60)",28,4x6x2,"(0, 0, 0)","(3, 5, 1)",12,2,5,1
breadth_first,True,0.8999999999999999,9,0.3654160000151023,622,623,623,373,9,"['UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Y']","DroneState(x=3, y=5, z=1, battery=3, time_step=9)",28,4x6x2,"(0, 0, 0)","(3, 5, 1)",12,2,5,1
uniform_cost,True,0.8999999999999999,9,0.6420108999882359,605,606,606,352,9,"['UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Y']","DroneState(x=3, y=5, z=1, battery=3, time_step=9)",28,4x6x2,"(0, 0, 0)","(3, 5, 1)",12,2,5,1
greedy,True,0.8999999999999999,9,0.001968299999134615,9,10,10,33,9,"['UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Y']","DroneState(x=3, y=5, z=1, battery=3, time_step=9)",28,4x6x2,"(0, 0, 0)","(3, 5, 1)",12,2,5,1
astar,True,0.8999999999999999,9,0.014188300003297627,34,35,35,81,9,"['UP_Y', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y']","DroneState(x=3, y=5, z=1, battery=3, time_step=9)",28,4x6x2,"(0, 0, 0)","(3, 5, 1)",12,2,5,1
depth_first,True,5.708974358974357,60,0.278632400004426,1507,1508,1508,66,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=5, y=3, z=2, battery=2, time_step=60)",29,6x4x3,"(0, 0, 0)","(5, 3, 2)",13,2,9,1
breadth_first,True,1.0294871794871794,10,1.6734046000055969,1425,1426,1426,719,10,"['UP_Z', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_Y', 'UP_Z']","DroneState(x=5, y=3, z=2, battery=2, time_step=10)",29,6x4x3,"(0, 0, 0)","(5, 3, 2)",13,2,9,1
uniform_cost,True,0.9358974358974359,10,1.9898088999907486,1063,1064,1064,629,10,"['UP_Z', 'UP_X', 'UP_X', 'UP_Z', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_Y']","DroneState(x=5, y=3, z=2, battery=3, time_step=10)",29,6x4x3,"(0, 0, 0)","(5, 3, 2)",13,2,9,1
greedy,True,1.0294871794871794,10,0.0030958999996073544,10,11,11,41,10,"['UP_Z', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_Y', 'UP_Z']","DroneState(x=5, y=3, z=2, battery=2, time_step=10)",29,6x4x3,"(0, 0, 0)","(5, 3, 2)",13,2,9,1
