algorithm,success,total_cost,solution_depth,execution_time_sec,expanded_nodes,chosen_nodes,iterations,max_fringe_size,path_length,actions,final_state,instance_id,grid,start,goal,max_battery,recharge_stations,obstacles,no_fly_zones
astar,True,0.9999999999999999,10,0.010597300017252564,23,24,24,73,10,"['UP_X', 'UP_Z', 'UP_X', 'UP_Z', 'UP_X', 'UP_Y', 'UP_X', 'UP_Y', 'UP_Y', 'UP_X']","DroneState(x=5, y=3, z=2, battery=2, time_step=10)",10,6x4x3,"(0, 0, 0)","(5, 3, 2)",12,2,8,1
depth_first,True,7.550000000000009,57,1.3451403000217397,3404,3405,3405,181,57,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Z', 'UP_X', 'RECHARGE', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=4, y=5, z=2, battery=0, time_step=60)",11,5x6x3,"(0, 0, 0)","(4, 5, 2)",9,2,10,1
breadth_first,True,1.672222222222222,12,4.912791400012793,3278,3279,3279,1023,12,"['UP_X', 'UP_Z', 'UP_Z', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y']","DroneState(x=4, y=5, z=2, battery=1, time_step=15)",11,5x6x3,"(0, 0, 0)","(4, 5, 2)",9,2,10,1
uniform_cost,True,1.672222222222222,12,7.968231600010768,3147,3148,3148,919,12,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'RECHARGE', 'UP_X', 'UP_Z', 'UP_X', 'UP_Z', 'UP_X', 'UP_X', 'UP_Y']","DroneState(x=4, y=5, z=2, battery=2, time_step=15)",11,5x6x3,"(0, 0, 0)","(4, 5, 2)",9,2,10,1
greedy,True,3.333333333333333,25,9.618615200015483,4717,4718,4718,1027,25,"['UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Z', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'DOWN_X', 'DOWN_X', 'DOWN_X', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_Y']","DroneState(x=4, y=5, z=2, battery=0, time_step=28)",11,5x6x3,"(0, 0, 0)","(4, 5, 2)",9,2,10,1
astar,True,1.672222222222222,12,0.4393229999986943,354,355,355,423,12,"['UP_Y', 'UP_Y', 'UP_Y', 'UP_Y', 'RECHARGE', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_Z', 'UP_Z']","DroneState(x=4, y=5, z=2, battery=2, time_step=15)",11,5x6x3,"(0, 0, 0)","(4, 5, 2)",9,2,10,1
depth_first,True,7.422222222222231,57,1.0318275000026915,3075,3076,3076,181,57,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'RECHARGE', 'UP_Y', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y']","DroneState(x=4, y=4, z=2, battery=0, time_step=60)",12,5x5x3,"(0, 0, 0)","(4, 4, 2)",9,2,6,1
breadth_first,True,1.7999999999999998,11,6.12109210001654,3594,3595,3595,989,11,"['UP_X', 'UP_Y', 'UP_Z', 'UP_Z', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y']","DroneState(x=4, y=4, z=2, battery=1, time_step=14)",12,5x5x3,"(0, 0, 0)","(4, 4, 2)",9,2,6,1
uniform_cost,True,1.5444444444444443,11,8.709590499987826,3147,3148,3148,830,11,"['UP_Z', 'RECHARGE', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Z', 'UP_Y', 'UP_Y']","DroneState(x=4, y=4, z=2, battery=0, time_step=14)",12,5x5x3,"(0, 0, 0)","(4, 4, 2)",9,2,6,1
greedy,True,3.0888888888888886,20,4.313006199983647,2738,2739,2739,810,20,"['UP_X', 'UP_Y', 'UP_X', 'UP_Z', 'UP_X', 'UP_Z', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'DOWN_X', 'DOWN_X', 'RECHARGE', 'RECHARGE', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Y']","DroneState(x=4, y=4, z=2, battery=1, time_step=26)",12,5x5x3,"(0, 0, 0)","(4, 4, 2)",9,2,6,1
astar,True,1.5444444444444443,11,0.48003330000210553,364,365,365,489,11,"['UP_X', 'UP_Z', 'UP_Z', 'UP_Y', 'RECHARGE', 'UP_X', 'UP_X', 'UP_Y', 'UP_X', 'UP_Y', 'UP_Y']","DroneState(x=4, y=4, z=2, battery=3, time_step=14)",12,5x5x3,"(0, 0, 0)","(4, 4, 2)",9,2,6,1
depth_first,True,5.285714285714283,60,0.15148780000163242,733,734,734,121,60,"['WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'WAIT', 'UP_Z', 'UP_Y', 'UP_Y', 'UP_Y', 'UP_X', 'UP_Y', 'UP_X', 'UP_X', 'UP_X']","DroneState(x=4, y=4, z=1, battery=5, time_step=60)",13,5x5x2,"(0, 0, 0)","(4, 4, 1)",14,2,6,1
breadth_first,True,0.7928571428571429,9,0.38904949999414384,608,609,609,386,9,"['UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=4, y=4, z=1, battery=5, time_step=9)",13,5x5x2,"(0, 0, 0)","(4, 4, 1)",14,2,6,1
uniform_cost,True,0.7928571428571429,9,0.4820051999995485,561,562,562,335,9,"['UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Z', 'UP_Y', 'UP_X', 'UP_Y', 'UP_X']","DroneState(x=4, y=4, z=1, battery=5, time_step=9)",13,5x5x2,"(0, 0, 0)","(4, 4, 1)",14,2,6,1
greedy,True,0.7928571428571429,9,0.002331200026674196,9,10,10,33,9,"['UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_Z']","DroneState(x=4, y=4, z=1, battery=5, time_step=9)",13,5x5x2,"(0, 0, 0)","(4, 4, 1)",14,2,6,1
astar,True,0.7928571428571429,9,0.013556099991546944,38,39,39,84,9,"['UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Y', 'UP_Y', 'UP_X', 'UP_X', 'UP_Z']","DroneState(x=4, y=4, z=1, battery=5, time_step=9)",13,5x5x2,"(0, 0, 0)","(4, 4, 1)",14,2,6,1
